Designator,Mid X,Mid Y,Layer,Rotation
J3,-114.176mm,7.273mm,Bottom,0.0
R6,-100.176mm,83.773mm,Bottom,270.0
R27,-26.686mm,73.523mm,Bottom,0.0
*ref1,27.1424mm,111.6064mm,Top,0.0
C1,42.926mm,25.273mm,Top,270.0
C2,42.926mm,27.273mm,Top,90.0
C3,100.07725mm,8.71675mm,Top,0.0
C4,92.676mm,15.253mm,Top,90.0
C5,85.426mm,15.013mm,Top,180.0
C6,25.926mm,50.023mm,Top,180.0
C7,21.676mm,50.023mm,Top,90.0
C8,28.426mm,49.773mm,Top,90.0
C9,57.481mm,19.303mm,Top,270.0
C10,54.731mm,19.803mm,Top,270.0
C11,59.481mm,19.328mm,Top,270.0
C12,48.196mm,38.773mm,Top,0.0
C13,61.481mm,19.303mm,Top,270.0
C14,63.481mm,19.303mm,Top,270.0
C15,52.926mm,41.523mm,Top,180.0
C16,61.926mm,40.523mm,Top,90.0
C17,60.176mm,40.523mm,Top,90.0
C18,56.231mm,19.823mm,Top,270.0
C19,58.426mm,40.523mm,Top,90.0
C20,63.426mm,40.023mm,Top,90.0
C21,56.676mm,40.523mm,Top,90.0
D1,89.51975mm,8.71675mm,Top,180.0
D2,97.59475mm,8.71675mm,Top,180.0
D3,79.426mm,67.523mm,Top,0.0
D4,40.2135mm,37.773mm,Top,180.0
D5,40.2135mm,41.273mm,Top,180.0
D6,40.2135mm,39.523mm,Top,180.0
D7,79.426mm,65.773mm,Top,0.0
D8,79.426mm,69.273mm,Top,0.0
D9,50.613036mm,17.873464mm,Top,0.0
D10,41.075536mm,16.123464mm,Top,180.0
D11,66.926mm,75.773mm,Top,180.0
D12,66.926mm,72.273mm,Top,180.0
D13,50.613036mm,16.123464mm,Top,0.0
D14,41.113036mm,17.873464mm,Top,180.0
D15,66.926mm,74.023mm,Top,180.0
D16,123.176mm,54.173mm,Top,0.0
D17,123.176mm,57.673mm,Top,0.0
D18,123.2135mm,61.273mm,Top,0.0
D19,123.2135mm,64.773mm,Top,0.0
D20,123.1385mm,55.923mm,Top,0.0
D21,123.176mm,59.423mm,Top,0.0
D22,123.2135mm,63.023mm,Top,0.0
D23,123.2135mm,66.523mm,Top,0.0
D24,66.926mm,70.023mm,Top,180.0
D25,66.926mm,66.523mm,Top,180.0
D26,66.926mm,62.523mm,Top,180.0
D27,66.926mm,59.023mm,Top,180.0
D28,66.926mm,68.273mm,Top,180.0
D29,66.926mm,64.773mm,Top,180.0
D30,66.926mm,60.773mm,Top,180.0
D31,66.926mm,57.273mm,Top,180.0
D32,54.926mm,40.273mm,Top,90.0
D33,50.926mm,40.273mm,Top,270.0
J1,78.176mm,13.023mm,Top,180.0
J2,82.676mm,9.273mm,Top,270.0
J4,24.476mm,73.653mm,Top,0.0
J5,1.516mm,91.433mm,Top,0.0
J6,3.976001mm,91.433mm,Top,0.0
J7,6.596mm,91.433mm,Top,0.0
J8,9.136mm,91.433mm,Top,0.0
J9,11.676mm,91.433mm,Top,0.0
J10,14.216mm,91.433mm,Top,0.0
J11,16.756mm,91.433mm,Top,0.0
J12,19.296mm,91.433mm,Top,0.0
J13,21.836mm,91.433mm,Top,0.0
