Comment,Designator,Footprint,LCSC Part #
"BATTERY_CR2032","BT1","BATTERY-2032","C70377"
"100nF","C1","C0402","C307331"
"100nF","C2","C0402","C307331"
"100nF","C3","C0402","C307331"
"100nF","C4","C0402","C307331"
"100n","C5","C0603","C14663"
"100nF","C6","C0402","C307331"
"10uF","C7","C0603","C96446"
"10uF","C8","C0603","C96446"
"10uF","C9","C0603","C96446"
"5.6nF","C10","C0402","C115688"
"10uF","C11","C0603","C96446"
"10nF","C12","C0402","C541443"
"10uF","C13","C0603","C96446"
"10uF","C14","C0603","C96446"
"220nF","C15","C0402","C16772"
"10uF","C16","C0603","C96446"
"10uF","C17","C0603","C96446"
"100nF","C18","C0402","C307331"
"10uF","C19","C0603","C96446"
"100nF","C20","C0402","C307331"
"10uF","C21","C0603","C96446"
"cr","cr1","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr2","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr3","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr4","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr5","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr6","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr7","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr8","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr9","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr10","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr11","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr12","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr13","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr14","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr15","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr16","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr17","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr18","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr19","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr20","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr21","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr22","PinHeader_1x01_P1.00mm_Vertical",""
"cr","cr23","PinHeader_1x01_P1.00mm_Vertical",""
"1N4148WS","D1","D_SOD-323","C2128"
"1N4148WS","D2","D_SOD-323","C2128"
"B5819W","D3","D_SOD-123","C8598"
"LED-GREEN-0603","D4","LED-0603","C72043"
"LED-GREEN-0603","D5","LED-0603","C72043"
"LED-GREEN-0603","D6","LED-0603","C72043"
"LED-WHITE-0603","D7","LED-0603","C84265"
"B5819W","D8","D_SOD-123","C8598"
"1N4148WS","D9","SOD-323","C2128"
"B5819W","D10","D_SOD-123","C8598"
"LED-RED-0603","D11","LED-0603","C2286"
"LED-GREEN-0603","D12","LED-0603","C72043"
"1N4148WS","D13","D_SOD-323","C2128"
"1N4148WS","D14","D_SOD-323","C2128"
"LED-RED-0603","D15","LED-0603","C2286"
"LED-BLUE-0603","D16","LED-0603","C72041"
"LED-BLUE-0603","D17","LED-0603","C72041"
"LED-BLUE-0603","D18","LED-0603","C72041"
"LED-BLUE-0603","D19","LED-0603","C72041"
"LED-BLUE-0603","D20","LED-0603","C72041"
"LED-BLUE-0603","D21","LED-0603","C72041"
"LED-BLUE-0603","D22","LED-0603","C72041"
"LED-BLUE-0603","D23","LED-0603","C72041"
"LED-RED-0603","D24","LED-0603","C2286"
"LED-RED-0603","D25","LED-0603","C2286"
"LED-RED-0603","D26","LED-0603","C2286"
"LED-RED-0603","D27","LED-0603","C2286"
"LED-RED-0603","D28","LED-0603","C2286"
"LED-RED-0603","D29","LED-0603","C2286"
"LED-RED-0603","D30","LED-0603","C2286"
"LED-RED-0603","D31","LED-0603","C2286"
"1N4148WS","D32","D_SOD-323","C2128"
"1N4148WS","D33","D_SOD-323","C2128"
"1N4148WS","D34","D_SOD-323","C2128"
"1N4148WS","D35","D_SOD-323","C2128"
"1N4148WS","D36","D_SOD-323","C2128"
"1N4148WS","D37","D_SOD-323","C2128"
"1N4148WS","D38","D_SOD-323","C2128"
"1N4148WS","D39","D_SOD-323","C2128"
"1N4148WS","D40","D_SOD-323","C2128"
"1N4148WS","D42","D_SOD-323","C2128"
"1N4148WS","D43","D_SOD-323","C2128"
"B5819W","D44","D_SOD-123","C8598"
"10A","F1","36911600000","C354908"
"10A","F2","36911600000","C354908"
